"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","598","537","175","1310","487","3107"
"CMCF","546","561","128","720","233","2188"
"SMCI","428","528","143","936","477","2512"
"County Jails (approved)","344","171","12","49","4","580"
"Youthful Offender Facility","0","0","6","16","6","28"
"County Jails (unapproved)","8","132","11","42","22","285"
"Private Prisons","472","516","280","1957","650","3875"
"Regional Correctional Facilities","733","736","324","1525","891","4209"
"Community Work Centers","765","395","3","15","0","1178"
"Community Trusties","9","4","0","0","0","13"
"Pending File Review","0","6","3","18","2","79"
"Court Order","67","82","11","42","9","211"
"TOTAL CUSTODY POPULATION","4060","3698","1096","6630","2781","18265"
"% OF TOTAL_offenses","22.23%","20.25%","6.00%","36.30%","15.23%","100.00%"
"Intensive Supervison Program","358","437","9","53","5","862"
"Earned Release Supervision","241","67","145","373","5","831"
"Medical Release","8","4","0","3","0","15"
"Other Custody","194","233","16","87","7","557"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","2","0","5","1","8"
"TOTAL","4867","4455","1266","7158","2819","20565"
"% OF TOTAL_offenses","23.67%","21.66%","6.16%","34.81%","13.71%","100.00%"
