"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,123","909","1,813","3,845"
"CMCF","1,312","1,170","1,198","3,680"
"SMCI","1,124","869","1,104","3,097"
"County Jails (approved)","775","392","89","1,256"
"County Jails (unapproved)","83","79","36","198"
"Private Prisons","1,125","1,219","3,205","5,549"
"Regional Correctional Facilities","1,016","532","1,529","3,077"
"Community Work Centers","1,257","561","1","1,819"
"Community Trusties","7","5","6","18"
"Pending File Review","47","62","15","124"
"Court Order","160","133","73","366"
"TOTAL CUSTODY POPULATION","8,029","5,931","9,069","23,029"
"Intensive Supervison Program","486","701","38","1,225"
"Earned Release Supervision","763","641","451","1,855"
"Medical Release","20","11","6","37"
"Other Custody","127","114","81","322"
"At Large","16","29","11","56"
"Off-Grounds Medical (Hospital)","1","0","3","4"
