"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1334","1412","2562","5308"
"CMCF","1043","1055","860","2958"
"SMCI","624","713","705","2042"
"County Jails (approved)","669","603","221","1493"
"County Jails (unapproved)","71","63","35","169"
"Private Prisons","884","920","1809","3613"
"Regional Correctional Facilities","776","498","730","2004"
"Community Work Centers","645","607","42","1294"
"Community Trusties","9","7","5","21"
"CUSTODY POPULATION","6055","5878","6969","18902"
"Intensive Supervison Program","330","1047","30","1407"
"Earned Release Supervision","383","510","134","1027"
"Medical Release","0","0","0","0"
"Other Custody","56","86","70","212"
"At Large","20","53","12","85"
"University of MS Medical Center","0","3","6","9"
"TOTAL","6844","7577","7221","21642"
"% of Total Offenses","31.62%","35.01%","33.37%","100.00%"
