"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","767","766","157","1,172","486","3,348"
"CMCF","895","1,133","172","832","330","3,362"
"SMCI","688","788","184","1,037","532","3,229"
"County Jails (approved)","760","633","24","78","36","1,531"
"Youthful Offender Facility","0","3","0","21","5","29"
"County Jails (unapproved)","153","191","19","32","29","424"
"Private Prisons","492","860","282","2,044","600","4,278"
"Regional Correctional Facilities","998","1,139","312","1,194","786","4,429"
"Community Work Centers","940","612","1","4","0","1,557"
"Community Trusties","7","4","0","0","0","11"
"Pending File Review","27","40","0","5","0","72"
"Court Order","156","147","8","36","12","359"
"TOTAL CUSTODY POPULATION","5,883","6,316","1,159","6,455","2,816","22,629"
"% OF TOTAL_offenses","26.00%","27.91%","5.12%","28.53%","12.44%","100.00%"
"Intensive Supervison Program","723","827","15","45","8","1,618"
"Earned Release Supervision","504","568","197","395","6","1,670"
"Medical Release","11","8","2","5","0","26"
"Other Custody","204","171","11","72","4","482"
"At Large","7","19","0","7","0","33"
"Off-Grounds Medical (Hospital)","3","3","0","2","1","9"
"TOTAL","7,335","7,912","1,384","6,981","2,855","26,467"
"% OF TOTAL_offenses","27.71%","29.89%","5.23%","26.38%","10.79%","100.00%"
