"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","737","630","1,331","461","3,159"
"CMCF","934","975","980","320","3,209"
"SMCI","834","777","1,107","444","3,162"
"County Jails (approved)","746","463","50","21","1,280"
"County Jails (unapproved)","119","119","35","14","287"
"Private Prisons","675","997","2,630","797","5,099"
"Regional Correctional Facilities","642","615","1,162","582","3,001"
"Community Work Centers","922","575","4","0","1,501"
"Community Trusties","4","3","5","0","12"
"Pending File Review","40","49","12","3","104"
"Court Order","112","103","49","13","277"
"TOTAL CUSTODY POPULATION","5,765","5,306","7,365","2,655","21,091"
"Intensive Supervison Program","842","742","43","8","1,635"
"Earned Release Supervision","394","477","591","6","1,468"
"Medical Release","21","10","6","0","37"
"Other Custody","152","132","89","14","387"
"At Large","8","22","8","0","38"
"Off-Grounds Medical (Hospital)","1","3","5","3","12"
"TOTAL","7,183","6,692","8,107","2,686","24,668"
"% OF TOTAL_offenses","29.12%","27.13%","32.86%","10.89%","100.00%"
