"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","991","835","2098","3924"
"CMCF","905","1059","1187","3151"
"SMCI","865","777","1069","2711"
"County Jails (approved)","637","384","64","1085"
"County Jails (unapproved)","61","71","30","162"
"Private Prisons","986","1273","3263","5522"
"Regional Correctional Facilities","681","638","1675","2994"
"Community Work Centers","1028","587","8","1623"
"Community Trusties","7","3","5","15"
"Pending File Review","38","29","6","73"
"Court Order","108","102","46","256"
"TOTAL CUSTODY POPULATION","6307","5758","9451","21516"
"Intensive Supervison Program","608","701","25","1334"
"Earned Release Supervision","466","529","479","1474"
"Medical Release","19","10","7","36"
"Other Custody","147","116","88","351"
"At Large","12","24","8","44"
"Off-Grounds Medical (Hospital)","4","2","4","10"
