"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","569","555","177","1497","565","3363"
"CMCF","773","847","152","1141","334","3247"
"SMCI","478","517","190","1273","540","2998"
"County Jails (approved)","362","256","12","107","8","745"
"Youthful Offender Facility","0","1","3","19","6","29"
"County Jails (unapproved)","94","125","10","56","23","308"
"Private Prisons","271","360","211","1630","563","3035"
"Regional Correctional Facilities","572","650","318","1428","790","3758"
"Community Work Centers","430","211","0","93","0","734"
"Community Trusties","22","11","0","7","0","40"
"Pending File Review","21","33","5","1","5","65"
"Court Order","71","87","7","66","8","239"
"Transitional Housing","2","0","0","0","0","2"
"TVC","5","2","0","0","0","7"
"TOTAL CUSTODY POPULATION","3670","3655","1085","7318","2842","18570"
"% OF TOTAL_offenses","19.76%","19.68%","5.84%","39.41%","15.30%","100.00%"
"Intensive Supervison Program","317","356","14","65","7","759"
"Earned Release Supervision","127","51","145","345","6","674"
"Medical Release","7","3","0","2","0","12"
"Other Custody","156","193","10","80","28","467"
"At Large","7","16","0","6","0","29"
"Conditional Release","0","0","0","2","1","3"
"RRP","24","63","0","18","0","105"
"FTR- Monitoring","5","1","0","0","0","6"
"Bond Monitoring","0","3","0","0","0","3"
"Contempt","0","1","0","0","0","1"
"Off-Grounds Medical (Hospital)","1","2","0","3","3","9"
"TOTAL","4314","4344","1254","7839","2887","20638"
"% OF TOTAL_offenses","20.90%","21.05%","6.08%","37.99%","13.99%","100.00%"
