"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,368","1,404","2,572","5,344"
"CMCF","1,060","1,061","895","3,016"
"SMCI","621","716","716","2,053"
"County Jails (approved)","657","568","230","1,455"
"County Jails (unapproved)","65","40","23","128"
"Private Prisons","880","919","1,808","3,607"
"Regional Correctional Facilities","782","500","723","2,005"
"Community Work Centers","640","626","41","1,307"
"Community Trusties","9","9","5","23"
"CUSTODY POPULATION","6,082","5,843","7,013","18,938"
"Intensive Supervison Program","354","1,074","29","1,457"
"Earned Release Supervision","390","506","144","1,040"
"Medical Release","0","0","0","0"
"Other Custody","58","89","71","218"
"At Large","23","58","10","91"
"University of MS Medical Center","4","2","1","7"
"TOTAL","6,911","7,572","7,268","21,751"
"% of Total Offenses","31.77%","34.81%","33.41%","100.00%"
