"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,121","1,597","2,077","4,795"
"CMCF","981","1,209","897","3,087"
"SMCI","667","750","761","2,178"
"County Jails (approved)","734","845","259","1,838"
"County Jails (unapproved)","78","116","29","223"
"Private Prisons","950","1,529","2,081","4,560"
"Regional Correctional Facilities","910","774","1,062","2,746"
"Community Work Centers","960","721","4","1,685"
"Community Trusties","11","3","4","18"
"CUSTODY POPULATION","6,412","7,544","7,174","21,130"
"Intensive Supervison Program","472","796","34","1,302"
"Earned Release Supervision","516","552","202","1,270"
"Medical Release","","","","0"
"At Large","11","28","6","45"
"Unknown","","","","226"
"TOTAL","7,411","8,920","7,416","23,973"
"% of Total Offenses","30.91%","37.21%","30.93%","100.00%"
