"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1274","1077","2049","4400"
"CMCF","1081","1092","976","3149"
"SMCI","665","572","748","1985"
"County Jails (approved)","712","532","136","1380"
"County Jails (unapproved)","12","28","8","48"
"Private Prisons","1032","1033","2702","4767"
"Regional Correctional Facilities","896","561","1577","3034"
"Community Work Centers","1051","648","4","1703"
"Community Trusties","8","4","5","17"
"Pending File Review","12","11","1","24"
"Court Order","150","177","57","384"
"TOTAL CUSTODY POPULATION","6893","5735","8263","20891"
"Intensive Supervison Program","595","942","42","1579"
"Earned Release Supervision","726","705","343","1774"
"Medical Release","5","2","3","10"
"Other Custody","114","113","75","302"
"At Large","32","87","20","139"
"Off-Grounds Medical (Hospital)","3","5","5","13"
