"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","480","411","583","1927","3401"
"CMCF","905","889","324","1344","3462"
"SMCI","447","398","471","1341","2657"
"County Jails (approved)","352","167","9","142","670"
"Youthful Offender Facility","0","4","6","22","32"
"County Jails (unapproved)","127","140","16","74","357"
"Private Prisons","281","301","548","2037","3167"
"Regional Correctional Facilities","713","560","880","2033","4186"
"Community Work Centers","384","152","0","128","664"
"Community Trusties","5","0","0","1","6"
"Pending File Review","33","43","5","23","104"
"Court Order","78","71","9","77","235"
"Transitional Housing","16","13","1","11","41"
"RRP","42","50","0","14","106"
"TVC","11","5","0","3","19"
"TOTAL CUSTODY POPULATION","3874","3204","2852","9177","19107"
"% OF TOTAL_offenses","20.28%","16.77%","14.93%","48.03%","100.00%"
"Intensive Supervison Program","303","338","9","75","725"
"Earned Release Supervision","86","40","7","468","601"
"Medical Release","10","2","0","3","15"
"Other Custody","145","158","27","115","445"
"At Large","8","12","0","8","28"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","0","0","5"
"Off-Grounds Medical (Hospital)","2","0","2","5","9"
"TOTAL","4430","3757","2898","9853","20938"
"% OF TOTAL_offenses","21.16%","17.94%","13.84%","47.06%","100.00%"
