"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1396","1381","2599","5376"
"CMCF","1074","1094","905","3073"
"SMCI","621","721","687","2029"
"County Jails (approved)","740","652","234","1626"
"County Jails (unapproved)","61","63","24","148"
"Private Prisons","888","920","1821","3629"
"Regional Correctional Facilities","817","508","737","2062"
"Community Work Centers","634","632","45","1311"
"Community Trusties","9","10","5","24"
"CUSTODY POPULATION","6240","5981","7057","19278"
"Intensive Supervison Program","351","1050","32","1433"
"Earned Release Supervision","385","510","155","1050"
"Medical Release","0","0","0","0"
"Other Custody","59","91","80","230"
"At Large","25","55","39","89"
"University of MS Medical Center","2","4","3","9"
"TOTAL","7062","7691","7336","22089"
"% of Total Offenses","31.97%","34.82%","33.21%","100.00%"
