"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","586","563","190","1394","543","3276"
"CMCF","628","708","141","819","252","2548"
"SMCI","465","528","166","1034","492","2685"
"County Jails (approved)","379","225","14","62","10","690"
"Youthful Offender Facility","0","0","5","13","8","26"
"County Jails (unapproved)","95","154","17","60","17","343"
"Private Prisons","495","557","273","1918","676","3919"
"Regional Correctional Facilities","608","574","276","1333","780","3571"
"Community Work Centers","733","342","2","27","0","1104"
"Community Trusties","9","2","0","0","0","11"
"Pending File Review","42","6","1","7","0","86"
"Court Order","87","90","14","56","14","261"
"TOTAL CUSTODY POPULATION","4127","3779","1099","6723","2792","18520"
"% OF TOTAL_offenses","22.28%","20.40%","5.93%","36.30%","15.08%","100.00%"
"Intensive Supervison Program","365","407","9","54","5","840"
"Earned Release Supervision","258","65","147","377","1","848"
"Medical Release","7","5","0","2","0","14"
"Other Custody","168","220","17","89","6","520"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","1","0","1","0","2"
"TOTAL","4931","4491","1272","7253","2824","20771"
"% OF TOTAL_offenses","23.74%","21.62%","6.12%","34.92%","13.60%","100.00%"
