"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1284","1566","2462","5312"
"CMCF","1018","1118","851","2987"
"SMCI","577","718","680","1975"
"County Jails (approved)","563","623","228","1414"
"County Jails (unapproved)","38","49","21","108"
"Private Prisons","866","790","1820","3476"
"Regional Correctional Facilities","735","531","741","2007"
"Community Work Centers","576","639","42","1257"
"Community Trusties","10","9","5","24"
"CUSTODY POPULATION","5667","6043","6850","18560"
"Intensive Supervison Program","315","839","26","1180"
"Earned Release Supervision","391","462","118","971"
"Medical Release","0","1","0","1"
"Other Custody","53","92","62","207"
"At Large","19","48","10","77"
"University of MS Medical Center","0","3","1","4"
"TOTAL","6445","7488","7067","21000"
"% of Total Offenses","30.69%","35.66%","33.65%","100.00%"
