"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","765","771","122","1067","462","3187"
"CMCF","899","1110","161","784","344","3298"
"SMCI","723","812","191","1006","516","3248"
"Youthful Offender Facility","0","4","1","13","5","23"
"County Jails (approved)","767","632","17","52","7","1505"
"County Jails (unapproved)","83","136","5","21","9","254"
"Private Prisons","482","880","268","2089","624","4343"
"Regional Correctional Facilities","960","1117","302","1180","790","4349"
"Community Work Centers","904","568","0","4","0","1476"
"Community Trusties","7","3","0","0","0","10"
"Pending File Review","21","23","4","11","4","63"
"Court Order","149","183","10","57","23","422"
"TOTAL CUSTODY POPULATION","5760","6239","1081","6284","2814","22178"
"% OF TOTAL_offenses","25.97%","28.13%","4.87%","28.33%","12.69%","100.00%"
"Intensive Supervison Program","794","789","18","49","7","1657"
"Earned Release Supervision","507","513","186","392","4","1602"
"Medical Release","12","8","2","6","0","28"
"Other Custody","193","167","13","66","9","458"
"At Large","7","20","0","7","0","34"
"Off-Grounds Medical (Hospital)","1","7","0","3","0","11"
"TOTAL","7274","7743","1300","6807","2844","25968"
"% OF TOTAL_offenses","28.01%","29.82%","5.01%","26.21%","10.95%","100.00%"
