"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","781","779","159","1193","481","3393"
"CMCF","874","1066","166","811","337","3254"
"SMCI","676","787","174","1035","536","3208"
"County Jails (approved)","786","627","26","75","34","1548"
"Youthful Offender Facility","0","5","0","21","5","31"
"County Jails (unapproved)","122","172","21","33","26","374"
"Private Prisons","491","907","282","2030","592","4302"
"Regional Correctional Facilities","974","1125","321","1204","797","4421"
"Community Work Centers","913","596","1","4","0","1514"
"Community Trusties","6","3","0","0","0","9"
"Pending File Review","48","30","1","8","1","88"
"Court Order","161","166","8","39","13","387"
"TOTAL CUSTODY POPULATION","5832","6263","1159","6453","2822","22529"
"% OF TOTAL_offenses","25.89%","27.80%","5.14%","28.64%","12.53%","100.00%"
"Intensive Supervison Program","707","830","17","44","7","1605"
"Earned Release Supervision","511","581","199","385","5","1681"
"Medical Release","11","8","1","5","0","25"
"Other Custody","213","177","11","74","3","498"
"At Large","7","18","0","7","0","32"
"Off-Grounds Medical (Hospital)","1","5","0","1","2","9"
"TOTAL","7282","7882","1387","6969","2859","26379"
"% OF TOTAL_offenses","27.61%","29.88%","5.26%","26.42%","10.84%","100.00%"
