"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","278","198","457","1,261","2,194"
"CMCF","869","918","362","1,420","3,569"
"SMCI","447","415","484","1,317","2,663"
"Youthful Offender Facility","0","3","1","20","24"
"County Jails (approved)","398","171","7","144","720"
"County Jails (unapproved)","118","121","15","76","330"
"Private Prisons","321","295","589","2,704","3,909"
"Regional Correctional Facilities","693","571","859","2,216","4,339"
"Community Work Centers","321","115","0","99","535"
"Community Trusties","4","1","0","0","5"
"Pending File Review","47","43","1","23","114"
"Court Order","86","81","16","65","248"
"Transitional Housing","3","4","0","2","9"
"RRP","33","29","0","11","73"
"TVC","42","9","0","13","64"
"TOTAL CUSTODY POPULATION","3,660","2,974","2,791","9,371","18,796"
"% OF TOTAL OFFENSES","19.47%","15.82%","14.85%","49.86%","100.00%"
"Intensive Supervison Program","353","445","16","97","911"
"Earned Release Supervision","35","31","6","466","538"
"Medical Release","8","1","0","9","18"
"Other Custody","168","165","28","118","479"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","3","3","8","17"
"TOTAL","4,235","3,633","2,845","10,079","20,792"
"% OF TOTAL OFFENSES","20.37%","17.47%","13.68%","48.48%","100.00%"
