"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","769","678","1361","480","3288"
"CMCF","787","957","951","316","3011"
"SMCI","750","839","1127","457","3173"
"County Jails (approved)","714","485","49","24","1272"
"County Jails (unapproved)","222","288","75","23","608"
"Private Prisons","433","805","2282","655","4175"
"Regional Correctional Facilities","954","985","1547","758","4244"
"Community Work Centers","930","552","5","0","1487"
"Community Trusties","5","4","0","0","9"
"Pending File Review","24","30","11","3","68"
"Court Order","132","153","78","13","376"
"TOTAL CUSTODY POPULATION","5720","5776","7486","2729","21711"
"Intensive Supervison Program","817","696","46","9","1568"
"Earned Release Supervision","465","553","592","6","1616"
"Medical Release","14","4","5","0","23"
"Other Custody","184","155","82","16","437"
"At Large","7","23","7","0","37"
"Off-Grounds Medical (Hospital)","2","3","2","0","7"
"TOTAL","7209","7210","8220","2760","25399"
"% OF TOTAL_offenses","28.38%","28.39%","32.36%","10.87%","100.00%"
