"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","609","588","175","1422","552","3346"
"CMCF","854","1003","157","1110","344","3468"
"SMCI","504","600","186","1119","555","2964"
"County Jails (approved)","448","289","16","104","6","863"
"Youthful Offender Facility","0","0","5","24","4","33"
"County Jails (unapproved)","102","143","16","64","12","337"
"Private Prisons","328","389","236","1762","612","3327"
"Regional Correctional Facilities","612","685","297","1378","715","3687"
"Community Work Centers","485","270","0","72","0","827"
"Community Trusties","26","14","0","2","0","42"
"Pending File Review","51","38","4","16","4","113"
"Court Order","71","85","10","53","6","225"
"TVC","1","4","0","0","0","5"
"TOTAL CUSTODY POPULATION","4091","4104","1102","7126","2810","19237"
"% OF TOTAL_offenses","21.27%","21.33%","5.73%","37.04%","14.61%","99.98%"
"Intensive Supervison Program","292","334","10","51","6","693"
"Earned Release Supervision","190","44","124","299","6","663"
"Medical Release","6","4","0","2","0","12"
"Other Custody","176","220","16","88","25","525"
"At Large","6","14","0","6","0","26"
"Transitional Housing","0","0","0","0","0","0"
"Conditional Release","0","0","0","2","0","2"
"RRP","2","2","0","3","0","7"
"Off-Grounds Medical (Hospital)","0","3","0","2","3","8"
"TOTAL","4763","4725","1252","7579","2850","21173"
"% OF TOTAL_offenses","22.50%","22.32%","5.91%","35.80%","13.46%","99.99%"
