"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","760","597","1,401","464","3,222"
"CMCF","923","887","982","331","3,123"
"SMCI","875","773","1,084","426","3,158"
"County Jails (approved)","656","437","40","17","1,150"
"County Jails (unapproved)","98","95","34","14","241"
"Private Prisons","730","1,103","2,698","764","5,295"
"Regional Correctional Facilities","633","631","1,165","564","2,993"
"Community Work Centers","980","520","5","0","1,505"
"Community Trusties","5","2","5","0","12"
"Pending File Review","53","39","9","3","104"
"Court Order","109","107","44","19","279"
"TOTAL CUSTODY POPULATION","5,822","5,191","7,467","2,602","21,082"
"Intensive Supervison Program","810","714","43","5","1,572"
"Earned Release Supervision","332","475","616","5","1,428"
"Medical Release","22","15","7","0","44"
"Other Custody","141","135","85","13","374"
"At Large","9","23","8","0","40"
"Off-Grounds Medical (Hospital)","0","2","4","3","9"
"TOTAL","7,136","6,555","8,230","2,628","24,549"
"% OF TOTAL_offenses","29.07%","26.70%","33.52%","10.71%","100.00%"
