"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","710","617","1283","430"
"CMCF","862","961","913","327"
"SMCI","827","843","1071","440"
"County Jails (approved)","778","467","40","20"
"County Jails (unapproved)","140","165","50","13"
"Private Prisons","641","1076","2639","815"
"Regional Correctional Facilities","788","736","1322","628"
"Community Work Centers","960","556","4","0"
"Community Trusties","6","5","5","0"
"Pending File Review","42","48","7","2"
"Court Order","123","140","60","17"
"TOTAL CUSTODY POPULATION","5877","5614","7394","2692"
"Intensive Supervison Program","832","741","44","8 4"
"Earned Release Supervision","420","511","620","4"
"Medical Release","14","5","6","0"
"Other Custody","170","138","4","20"
"At Large","","","",""
"Off-Grounds Medical (Hospital)","","","",""
"TOTAL","7321","7031","8157","2725"
"% OF TOTAL_offenses","","","",""
