"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1153","1627","2137","4917"
"CMCF","990","1254","897","3141"
"SMCI","669","747","761","2177"
"County Jails (approved)","738","864","257","1859"
"County Jails (unapproved)","118","118","43","279"
"Private Prisons","917","1473","2020","4410"
"Regional Correctional Facilities","878","785","1066","2729"
"Community Work Centers","984","750","7","1741"
"Community Trusties","13","6","5","24"
"CUSTODY POPULATION","6460","7624","7193","21277"
"Intensive Supervison Program","465","803","38","1306"
"Earned Release Supervision","521","558","195","1274"
"Medical Release","0","0","0","0"
"Other Custody/At Large","77","120","72","269"
"TOTAL","7523","9105","7498","24126"
"% of Total Offenses","31.18%","37.74%","31.08%","100.00%"
