"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","829","645","1468","512","3454"
"CMCF","934","946","1011","329","3220"
"SMCI","883","775","1089","421","3168"
"County Jails (approved)","626","433","53","19","1131"
"County Jails (unapproved)","121","119","43","16","299"
"Private Prisons","748","1097","2672","779","5296"
"Regional Correctional Facilities","484","492","1046","503","2525"
"Community Work Centers","1070","570","6","0","1646"
"Community Trusties","8","1","6","0","15"
"Pending File Review","54","44","3","1","102"
"Court Order","107","104","47","14","272"
"TOTAL CUSTODY POPULATION","5864","5226","7444","2594","21128"
"Intensive Supervison Program","793","726","46","5","1570"
"Earned Release Supervision","334","494","611","4","1443"
"Medical Release","23","15","7","0","45"
"Other Custody","140","129","81","12","362"
"At Large","9","25","8","0","42"
"Off-Grounds Medical (Hospital)","39","1","4","1","9"
"TOTAL","7166","6616","8201","2616","24599"
"% OF TOTAL_offenses","29.13%","26.90%","33.34%","10.63%","100.00%"
