"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1204","893","2102","4199"
"CMCF","1388","1200","1177","3765"
"SMCI","1176","857","1079","3112"
"County Jails (approved)","808","547","139","1494"
"County Jails (unapproved)","82","113","42","237"
"Private Prisons","990","1006","2799","4795"
"Regional Correctional Facilities","1037","546","1499","3082"
"Community Work Centers","1184","538","1","1723"
"Community Trusties","9","3","4","16"
"Pending File Review","37","30","5","72"
"Court Order","134","124","70","328"
"TOTAL CUSTODY POPULATION","8049","5857","8917","22823"
"Intensive Supervison Program","486","661","30","1177"
"Earned Release Supervision","776","603","409","1788"
"Medical Release","18","9","7","34"
"Other Custody","123","113","80","316"
"At Large","18","31","11","60"
"Off-Grounds Medical (Hospital)","2","2","3","7"
