"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","382","375","552","1911","3220"
"CMCF","956","945","354","1413","3668"
"SMCI","456","395","498","1301","2650"
"Youthful Offender Facility","0","6","2","19","27"
"County Jails (approved)","362","164","8","167","701"
"County Jails (unapproved)","127","121","11","82","341"
"Private Prisons","245","244","543","2125","3157"
"Regional Correctional Facilities","720","581","849","2146","4296"
"Community Work Centers","392","139","0","108","639"
"Community Trusties","6","1","0","1","8"
"Pending File Review","25","29","0","22","76"
"Court Order","91","83","14","90","278"
"Transitional Housing","13","9","1","9","32"
"RRP","25","37","0","6","68"
"TVC","49","13","0","14","76"
"TOTAL CUSTODY POPULATION","3849","3142","2832","9414","19237"
"% OF TOTAL_offenses","20.01%","16.33%","14.72%","48.94%","100.00%"
"Intensive Supervison Program","342","385","7","92","826"
"Earned Release Supervision","43","37","12","487","579"
"Medical Release","8","2","0","4","14"
"Other Custody","155","169","26","126","476"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2","2"
"FTR- Monitoring","2","31","1","0","34"
"Off-Grounds Medical (Hospital)","3","1","2","2","8"
"TOTAL","4408","3778","2880","10134","21200"
"% OF TOTAL_offenses","20.79%","17.82%","13.59%","47.80%","100.00%"
