"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","755","744","170","1178","497","3344"
"CMCF","808","930","129","736","307","2910"
"SMCI","636","801","175","1076","547","3235"
"County Jails (approved)","650","572","32","109","62","1425"
"Youthful Offender Facility","1","6","3","22","4","36"
"County Jails (unapproved)","101","129","11","39","8","288"
"Private Prisons","513","895","290","2036","626","4360"
"Regional Correctional Facilities","946","1067","341","1261","811","4426"
"Community Work Centers","690","470","0","5","0","1165"
"Community Trusties","10","1","0","0","0","11"
"Pending File Review","30","25","1","4","2","62"
"Court Order","92","107","5","28","11","243"
"TOTAL CUSTODY POPULATION","5232","5747","1157","6494","2875","21505"
"% OF TOTAL_offenses","24.33%","26.72%","5.38%","30.20%","13.37%","100.00%"
"Intensive Supervison Program","659","771","14","41","4","1489"
"Earned Release Supervision","453","523","193","368","7","1544"
"Medical Release","11","7","1","3","0","22"
"Other Custody","198","181","10","75","4","488"
"At Large","6","17","0","7","0","30"
"Off-Grounds Medical (Hospital)","4","3","0","3","0","10"
"TOTAL","6563","7249","1375","6991","2910","25088"
"% OF TOTAL_offenses","26.16%","28.90%","5.48%","27.87%","11.60%","100.00%"
