"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","424","339","570","1922","3255"
"CMCF","1014","979","317","1438","3748"
"SMCI","552","479","554","1453","3038"
"Youthful Offender Facility","0","7","2","27","36"
"County Jails (approved)","362","159","6","147","674"
"County Jails (unapproved)","122","149","16","77","364"
"Private Prisons","259","268","551","2115","3193"
"Regional Correctional Facilities","600","442","796","1866","3704"
"Community Work Centers","367","149","0","127","643"
"Community Trusties","9","0","0","1","10"
"Pending File Review","43","41","7","40","131"
"Court Order","85","56","6","67","214"
"Transitional Housing","12","16","1","16","45"
"RRP","29","39","0","9","77"
"TVC","34","9","0","12","55"
"TOTAL CUSTODY POPULATION","3912","3132","2826","9317","19187"
"% OF TOTAL_offenses","20.39%","16.32%","14.73%","48.56%","100.00%"
"Intensive Supervison Program","308","358","10","85","761"
"Earned Release Supervision","57","35","9","487","588"
"Medical Release","10","1","0","2","13"
"Other Custody","159","184","25","118","486"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","1","1","4","7","13"
"TOTAL","4456","3725","2876","10025","21082"
"% OF TOTAL_offenses","21.14%","17.67%","13.64%","47.55%","100.00%"
