"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","465","396","582","1,930","3,373"
"CMCF","970","938","324","1,352","3,584"
"SMCI","523","489","525","1,491","3,028"
"County Jails (approved)","349","161","11","144","665"
"Youthful Offender Facility","0","4","6","22","32"
"County Jails (unapproved)","116","141","20","79","356"
"Private Prisons","278","302","564","2,066","3,210"
"Regional Correctional Facilities","615","495","810","1,870","3,790"
"Community Work Centers","398","157","0","142","697"
"Community Trusties","6","0","0","0","6"
"Pending File Review","52","46","5","22","125"
"Court Order","64","63","6","72","205"
"Transitional Housing","11","7","1","4","23"
"RRP","46","54","0","20","120"
"TVC","1","0","0","0","1"
"TOTAL CUSTODY POPULATION","3,894","3,253","2,854","9,214","19,215"
"% OF TOTAL_offenses","20.27%","16.93%","14.85%","47.95%","100.00%"
"Intensive Supervison Program","293","347","10","77","727"
"Earned Release Supervision","86","44","7","462","599"
"Medical Release","10","2","0","2","14"
"Other Custody","140","164","25","115","444"
"At Large","8","12","0","8","28"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","0","0","5"
"Off-Grounds Medical (Hospital)","1","2","1","10","14"
"TOTAL","4,434","3,827","2,898","9,890","21,049"
"% OF TOTAL_offenses","21.07%","18.18%","13.77%","46.99%","100.00%"
