"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1112","935","1997","4044"
"CMCF","1041","1057","1136","3234"
"SMCI","969","851","1142","2962"
"County Jails (approved)","702","309","58","1069"
"County Jails (unapproved)","92","98","49","239"
"Private Prisons","1029","1203","3252","5484"
"Regional Correctional Facilities","738","590","1595","2923"
"Community Work Centers","1141","541","2","1684"
"Community Trusties","6","5","6","17"
"Pending File Review","108","47","9","164"
"Court Order","98","90","47","235"
"TOTAL CUSTODY POPULATION","7036","5726","9293","22055"
"Intensive Supervison Program","480","749","27","1256"
"Earned Release Supervision","558","577","464","1599"
"Medical Release","20","12","7","39"
"Other Custody","136","120","84","340"
"At Large","14","29","10","53"
"Off-Grounds Medical (Hospital)","1","3","3","7"
