"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,250","951","2,153","4,354"
"CMCF","1,263","1,162","1,063","3,488"
"SMCI","1,077","826","1,042","2,945"
"County Jails (approved)","716","448","137","1,301"
"County Jails (unapproved)","107","90","20","217"
"Private Prisons","1,022","1,069","2,685","4,776"
"Regional Correctional Facilities","977","581","1,475","3,033"
"Community Work Centers","1,205","576","4","1,785"
"Community Trusties","8","5","5","18"
"Pending File Review","27","24","36","87"
"Court Order","125","112","59","296"
"TOTAL CUSTODY POPULATION","7,777","5,844","8,679","22,300"
"Intensive Supervison Program","479","677","32","1,188"
"Earned Release Supervision","694","626","385","1,705"
"Medical Release","7","4","3","14"
"Other Custody","139","101","79","319"
"At Large","20","39","16","75"
"Off-Grounds Medical (Hospital)","6","2","2","10"
