"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","618","571","185","1294","494","3162"
"CMCF","546","617","113","704","255","2235"
"SMCI","452","578","125","829","452","2436"
"County Jails (approved)","579","312","17","68","23","999"
"Youthful Offender Facility","1","1","4","15","3","24"
"County Jails (unapproved)","9","128","8","31","11","257"
"Private Prisons","460","573","291","1964","660","3948"
"Regional Correctional Facilities","724","754","370","1462","865","4175"
"Community Work Centers","627","389","2","7","0","1025"
"Community Trusties","7","1","0","0","0","8"
"Pending File Review","5","8","2","10","3","68"
"Court Order","79","93","7","35","11","225"
"TOTAL CUSTODY POPULATION","4187","4055","1124","6419","2777","18562"
"% OF TOTAL_offenses","22.56%","21.85%","6.06%","34.58%","14.96%","100.00%"
"Intensive Supervison Program","512","662","10","36","5","1225"
"Earned Release Supervision","256","107","154","376","6","899"
"Medical Release","9","6","0","2","0","17"
"Other Custody","197","223","15","75","7","537"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","1","3","0","1","2","7"
"TOTAL","5168","5070","1303","6916","2817","21274"
"% OF TOTAL_offenses","24.29%","23.83%","6.13%","32.51%","13.24%","100.00%"
