"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","727","704","191","1,206","516","3,344"
"CMCF","663","736","93","648","251","2,391"
"SMCI","625","763","175","1,088","562","3,213"
"County Jails (approved)","630","536","33","97","65","1,361"
"Youthful Offender Facility","0","7","3","26","3","39"
"County Jails (unapproved)","29","62","5","14","6","116"
"Private Prisons","501","847","276","2,029","615","4,268"
"Regional Correctional Facilities","915","1,025","333","1,309","818","4,400"
"Community Work Centers","700","340","0","153","0","1,193"
"Community Trusties","7","0","0","0","0","7"
"Pending File Review","24","29","6","0","0","59"
"Court Order","91","95","7","37","15","245"
"TOTAL CUSTODY POPULATION","4,912","5,144","1,122","6,607","2,851","20,636"
"% OF TOTAL_offenses","23.80%","24.93%","5.44%","32.02%","13.82%","100.00%"
"Intensive Supervison Program","673","816","44","70","34","1,637"
"Earned Release Supervision","380","418","162","346","3","1,309"
"Medical Release","13","7","2","3","0","25"
"Other Custody","192","180","6","76","4","478"
"At Large","5","16","0","9","0","30"
"Off-Grounds Medical (Hospital)","1","5","2","0","2","10"
"TOTAL","6,176","6,586","1,338","7,111","2,914","24,125"
"% OF TOTAL_offenses","25.60%","27.30%","5.55%","29.48%","12.08%","100.00%"
