"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","702","621","1302","433","3058"
"CMCF","819","1001","897","315","3032"
"SMCI","850","832","1073","443","3198"
"County Jails (approved)","793","438","29","21","1281"
"County Jails (unapproved)","125","146","46","23","340"
"Private Prisons","651","1059","2637","814","5161"
"Regional Correctional Facilities","767","725","1313","633","3438"
"Community Work Centers","932","565","5","0","1502"
"Community Trusties","5","6","5","0","16"
"Pending File Review","70","60","10","1","141"
"Court Order","126","124","59","12","321"
"TOTAL CUSTODY POPULATION","5840","5577","7376","2695","21488"
"Intensive Supervison Program","822","726","41","7","1596"
"Earned Release Supervision","417","499","595","3","1514"
"Medical Release","16","9","7","0","32"
"Other Custody","167","137","88","17","409"
"At Large","8","21","8","0","37"
"Off-Grounds Medical (Hospital)","6","0","2","0","8"
"TOTAL","7276","6969","8117","2722","25084"
"% OF TOTAL_offenses","29.01%","27.78%","32.36%","10.85%","100.00%"
