"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","712","614","1,324","446","3,096"
"CMCF","920","972","959","322","3,173"
"SMCI","829","824","1,051","434","3,138"
"County Jails (approved)","789","455","31","22","1,297"
"County Jails (unapproved)","103","127","38","9","277"
"Private Prisons","649","1,047","2,650","815","5,161"
"Regional Correctional Facilities","716","668","1,253","629","3,266"
"Community Work Centers","950","600","4","0","1,554"
"Community Trusties","3","5","5","0","13"
"Pending File Review","67","60","5","1","133"
"Court Order","131","130","50","13","324"
"TOTAL CUSTODY POPULATION","5,869","5,502","7,370","2,691","21,432"
"Intensive Supervison Program","810","714","36","7","1,567"
"Earned Release Supervision","406","498","595","6","1,505"
"Medical Release","16","8","6","0","30"
"Other Custody","159","136","90","15","400"
"At Large","8","21","8","0","37"
"University of MS Medical Center","3","3","6","1","13"
"TOTAL","7,271","6,882","8,111","2,720","24,984"
"% of Total Offenses","29.10%","27.55%","32.46%","10.89%","100.00%"
