"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","573","573","184","1497","548","3375"
"CMCF","731","924","157","1157","358","3327"
"SMCI","484","543","192","1274","561","3054"
"County Jails (approved)","372","208","11","94","4","689"
"Youthful Offender Facility","0","1","2","20","4","27"
"County Jails (unapproved)","139","153","5","76","20","393"
"Private Prisons","281","340","210","1663","563","3057"
"Regional Correctional Facilities","576","701","300","1457","770","3804"
"Community Work Centers","465","251","0","103","0","819"
"Community Trusties","28","15","0","5","0","48"
"Pending File Review","48","54","4","8","0","114"
"Court Order","85","91","9","69","12","266"
"Transitional Housing","1","0","0","0","0","1"
"TVC","1","1","0","0","0","2"
"TOTAL CUSTODY POPULATION","3784","3855","1074","7423","2840","18976"
"% OF TOTAL_offenses","19.94%","20.32%","5.66%","39.12%","14.97%","100.00%"
"Intensive Supervison Program","295","342","12","73","5","727"
"Earned Release Supervision","107","35","119","296","8","565"
"Medical Release","6","2","0","2","0","10"
"Other Custody","163","213","13","84","25","498"
"At Large","7","15","0","6","0","28"
"Conditional Release","0","0","0","2","0","2"
"RRP","20","44","0","12","0","76"
"FTR- Monitoring","5","0","0","0","0","5"
"Off-Grounds Medical (Hospital)","1","5","0","3","2","11"
"TOTAL","4388","4511","1218","7901","2880","20898"
"% OF TOTAL_offenses","21.00%","21.59%","5.83%","37.81%","13.78%","100.00%"
