"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","747","746","157","1,166","481","3,297"
"CMCF","823","1,031","160","762","321","3,097"
"SMCI","631","777","176","1,049","554","3,187"
"County Jails (approved)","698","626","38","76","58","1,496"
"Youthful Offender Facility","1","5","2","23","4","35"
"County Jails (unapproved)","78","147","9","22","11","267"
"Private Prisons","520","902","291","2,039","619","4,371"
"Regional Correctional Facilities","929","1,062","321","1,245","791","4,348"
"Community Work Centers","741","468","0","4","0","1,213"
"Community Trusties","8","1","0","0","0","9"
"Pending File Review","52","46","1","5","0","104"
"Court Order","134","127","13","56","13","343"
"TOTAL CUSTODY POPULATION","5,362","5,938","1,168","6,447","2,852","21,767"
"% OF TOTAL_offenses","24.63%","27.28%","5.37%","29.62%","13.10%","100.00%"
"Intensive Supervison Program","629","744","11","41","5","1,430"
"Earned Release Supervision","507","548","189","359","8","1,611"
"Medical Release","12","7","1","3","0","23"
"Other Custody","196","178","10","75","4","483"
"At Large","6","18","0","7","0","31"
"Off-Grounds Medical (Hospital)","0","3","0","4","1","8"
"TOTAL","6,712","7,436","1,379","6,936","2,890","25,353"
"% OF TOTAL_offenses","26.48%","29.33%","5.44%","27.36%","11.40%","100.00%"
