"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1215","1724","2377","5316"
"CMCF","973","1269","908","3150"
"SMCI","506","552","697","1755"
"County Jails (approved)","758","850","262","1870"
"County Jails (unapproved)","80","138","41","259"
"Private Prisons","815","1340","1751","3906"
"Regional Correctional Facilities","895","783","1064","2742"
"Community Work Centers","940","773","7","1720"
"Community Trusties","12","5","5","22"
"CUSTODY POPULATION","6194","7434","7112","20740"
"Intensive Supervison Program","448","776","41","1265"
"Earned Release Supervision","558","553","204","1315"
"Medical Release","0","0","0","0"
"Other Custody/At Large","80","119","72","271"
"TOTAL","7280","8882","7429","23591"
"% of Total Offenses","30.86%","37.65%","31.49%","100.00%"
