"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","770","750","164","1205","470","3359"
"CMCF","885","1104","164","840","334","3327"
"SMCI","692","837","178","970","490","3167"
"County Jails (approved)","710","592","19","40","28","1389"
"County Jails (unapproved)","169","217","17","38","27","468"
"Private Prisons","415","793","261","2025","638","4132"
"Regional Correctional Facilities","976","1070","305","1209","787","4347"
"Community Work Centers","959","568","1","3","0","1531"
"Community Trusties","11","3","0","0","0","14"
"Pending File Review","26","45","2","9","2","84"
"Court Order","117","158","9","50","15","349"
"TOTAL CUSTODY POPULATION","5730","6137","1120","6389","2791","22167"
"% OF TOTAL_offenses","25.85%","27.69%","5.05%","28.82%","12.59%","100.00%"
"Intensive Supervison Program","806","750","18","42","7","1623"
"Earned Release Supervision","503","505","194","418","1","1621"
"Medical Release","12","7","3","3","0","25"
"Other Custody","203","159","11","60","21","454"
"At Large","7","20","0","7","0","34"
"Off-Grounds Medical (Hospital)","3","5","2","5","3","18"
"TOTAL","7264","7583","1348","6924","2823","25943"
"% OF TOTAL_offenses","28.00%","29.23%","5.20%","26.69%","10.88%","100.00%"
