"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,240","944","2,142","4,326"
"CMCF","1,262","1,124","1,064","3,450"
"SMCI","1,160","860","1,043","3,063"
"County Jails (approved)","709","475","106","1,290"
"County Jails (unapproved)","90","82","25","197"
"Private Prisons","1,013","1,026","2,735","4,774"
"Regional Correctional Facilities","980","571","1,483","3,034"
"Community Work Centers","1,218","581","2","1,801"
"Community Trusties","7","5","5","17"
"Pending File Review","43","32","36","111"
"Court Order","128","99","45","272"
"TOTAL CUSTODY POPULATION","7,850","5,799","8,686","22,335"
"Intensive Supervison Program","483","675","30","1,188"
"Earned Release Supervision","715","639","398","1,752"
"Medical Release","7","3","3","13"
"Other Custody","139","103","81","323"
"At Large","19","39","16","74"
"Off-Grounds Medical (Hospital)","1","3","1","5"
