"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","587","593","172","1,229","513","3,094"
"CMCF","497","525","111","674","250","2,057"
"SMCI","508","598","129","895","491","2,621"
"County Jails (approved)","594","344","16","92","59","1,105"
"Youthful Offender Facility","0","4","6","20","4","34"
"County Jails (unapproved)","5","37","6","11","1","80"
"Private Prisons","494","647","282","2,122","714","4,259"
"Regional Correctional Facilities","730","745","365","1,469","860","4,169"
"Community Work Centers","677","420","0","7","0","1,104"
"Community Trusties","8","1","0","0","0","9"
"Transitional Housing","0","0","0","1","0","1"
"TVC","0","1","1","0","0","2"
"Pending File Review","6","49","7","14","3","119"
"Court Order","68","74","12","44","7","205"
"TOTAL CUSTODY POPULATION","4,234","4,038","1,107","6,578","2,902","18,859"
"% OF TOTAL_offenses","22.45%","21.41%","5.87%","34.88%","15.39%","100.00%"
"Intensive Supervison Program","566","708","15","37","6","1,332"
"Earned Release Supervision","299","209","158","400","5","1,071"
"Medical Release","10","7","0","2","0","19"
"Other Custody","189","205","17","83","5","519"
"At Large","6","15","0","7","0","28"
"Off-Grounds Medical (Hospital)","3","1","0","2","1","7"
"TOTAL","5,307","5,183","1,297","7,109","2,939","21,835"
"% OF TOTAL_offenses","24.31%","23.74%","5.94%","32.56%","13.46%","100.00%"
