"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1129","1603","2064","4796"
"CMCF","959","1187","899","3045"
"SMCI","670","722","758","2150"
"County Jails (approved)","781","865","252","1898"
"County Jails (unapproved)","106","132","36","274"
"Private Prisons","954","1524","2100","4578"
"Regional Correctional Facilities","895","776","1076","2747"
"Community Work Centers","956","711","2","1669"
"Community Trusties","10","3","6","19"
"CUSTODY POPULATION","6460","7523","7193","21176"
"Intensive Supervison Program","463","811","32","1306"
"Earned Release Supervision","564","577","221","1362"
"Medical Release","0","0","0","0"
"Other Custody/At Large","85","113","81","279"
"TOTAL","7572","9024","7527","24123"
"% of Total Offenses","31.39%","37.41%","31.20%","100.00%"
