"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,187","1,135","1,997","4,319"
"CMCF","1,080","1,125","948","3,153"
"SMCI","729","614","866","2,209"
"County Jails (approved)","610","499","113","1,222"
"County Jails (unapproved)","9","22","4","35"
"Private Prisons","1,060","1,107","2,679","4,846"
"Regional Correctional Facilities","912","552","1,521","2,985"
"Community Work Centers","929","670","4","1,603"
"Community Trusties","9","3","5","17"
"Pending File Review","28","17","3","48"
"Court Order","144","151","55","350"
"TOTAL CUSTODY POPULATION","6,697","5,895","8,195","20,787"
"Intensive Supervison Program","613","1,023","37","1,673"
"Earned Release Supervision","733","773","351","1,857"
"Medical Release","4","2","2","8"
"Other Custody","112","122","68","302"
"At Large","34","65","15","114"
"Off-Grounds Medical (Hospital)","0","2","2","4"
