"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1308","1435","2555","5298"
"CMCF","1003","1038","837","2878"
"SMCI","635","699","697","2031"
"County Jails (approved)","659","599","251","1509"
"County Jails (unapproved)","52","39","21","112"
"Private Prisons","887","895","1801","3583"
"Regional Correctional Facilities","755","508","718","1981"
"Community Work Centers","628","623","33","1284"
"Community Trusties","10","9","5","24"
"CUSTODY POPULATION","5937","5845","6918","18700"
"Intensive Supervison Program","313","996","26","1335"
"Earned Release Supervision","371","487","123","981"
"Medical Release","0","1","0","1"
"Other Custody","52","84","65","201"
"At Large","19","48","29","76"
"University of MS Medical Center","3","2","2","7"
"TOTAL","6695","7463","7143","21301"
"% of Total Offenses","31.43%","35.04%","33.53%","100.00%"
