"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","722","705","179","1186","511","3303"
"CMCF","743","896","120","700","287","2746"
"SMCI","628","786","175","1082","544","3215"
"County Jails (approved)","628","523","31","95","62","1339"
"Youthful Offender Facility","2","6","3","20","5","36"
"County Jails (unapproved)","51","105","11","19","17","203"
"Private Prisons","511","863","291","2047","635","4347"
"Regional Correctional Facilities","950","1017","333","1289","819","4408"
"Community Work Centers","711","461","0","4","0","1176"
"Community Trusties","10","1","0","0","0","11"
"Pending File Review","29","44","1","3","1","78"
"Court Order","106","129","4","34","13","286"
"TOTAL CUSTODY POPULATION","5091","5536","1148","6479","2894","21148"
"% OF TOTAL_offenses","24.07%","26.18%","5.43%","30.64%","13.68%","100.00%"
"Intensive Supervison Program","677","797","13","39","3","1529"
"Earned Release Supervision","441","511","181","356","5","1494"
"Medical Release","12","7","2","3","0","24"
"Other Custody","197","184","10","79","5","495"
"At Large","8","17","0","5","0","30"
"Off-Grounds Medical (Hospital)","1","4","0","6","3","14"
"TOTAL","6427","7056","1354","6967","2930","24734"
"% OF TOTAL_offenses","25.99%","28.53%","5.47%","28.17%","11.85%","100.00%"
