"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,371","1,320","3,017","5,708"
"CMCF","990","1,099","1,009","3,098"
"SMCI","667","655","726","2,048"
"County Jails (approved)","772","686","274","1,732"
"County Jails (unapproved)","64","90","43","197"
"Private Prisons","690","969","1,779","3,438"
"Regional Correctional Facilities","886","636","1,228","2,750"
"Community Work Centers","884","665","9","1,558"
"Community Trusties","10","7","5","22"
"CUSTODY POPULATION","6,334","6,127","8,090","20,551"
"Intensive Supervison Program","467","869","36","1,372"
"Earned Release Supervision","525","486","229","1,240"
"Medical Release","0","0","0","0"
"Other Custody","75","86","69","230"
"At Large","53","73","27","153"
"University of MS Medical Center","0","0","0","0"
"TOTAL","7,454","7,641","8,451","23,546"
"% of Total Offenses","31.66%","32.45%","35.89%","100.00%"
