"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","752","629","1371","470","3222"
"CMCF","940","992","973","308","3213"
"SMCI","851","771","1098","438","3158"
"County Jails (approved)","699","426","48","19","1192"
"County Jails (unapproved)","86","78","33","7","204"
"Private Prisons","687","1065","2605","794","5151"
"Regional Correctional Facilities","658","617","1158","588","3021"
"Community Work Centers","899","502","4","0","1405"
"Community Trusties","4","4","5","0","13"
"Pending File Review","86","63","21","2","172"
"Court Order","107","117","49","18","291"
"TOTAL CUSTODY POPULATION","5769","5264","7365","2644","21042"
"Intensive Supervison Program","849","737","43","8","1637"
"Earned Release Supervision","404","470","587","6","1467"
"Medical Release","21","12","6","1","40"
"Other Custody","152","135","89","13","389"
"At Large","8","22","8","0","38"
"Off-Grounds Medical (Hospital)","1","4","3","1","9"
"TOTAL","7204","6644","8101","2673","24622"
"% OF TOTAL_offenses","29.26%","26.98%","32.90%","10.86%","100.00%"
