"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1146","951","1999","4096"
"CMCF","1148","1059","1185","3392"
"SMCI","1024","863","1160","3047"
"County Jails (approved)","710","327","80","1117"
"County Jails (unapproved)","76","89","42","207"
"Private Prisons","1069","1206","3209","5484"
"Regional Correctional Facilities","832","545","1542","2919"
"Community Work Centers","1014","500","1","1515"
"Community Trusties","6","6","8","20"
"Pending File Review","94","74","15","183"
"Court Order","113","101","53","267"
"TOTAL CUSTODY POPULATION","7232","5721","9294","22247"
"Intensive Supervison Program","413","715","27","1155"
"Earned Release Supervision","566","572","470","1608"
"Medical Release","20","12","6","38"
"Other Custody","130","118","82","330"
"At Large","12","28","10","50"
"Off-Grounds Medical (Hospital)","2","4","3","9"
