"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","796","781","1292","464","3333"
"CMCF","862","1091","887","325","3165"
"SMCI","739","910","1072","478","3199"
"County Jails (approved)","714","567","53","25","1359"
"County Jails (unapproved)","106","152","38","20","316"
"Private Prisons","431","903","2278","662","4274"
"Regional Correctional Facilities","971","1199","1390","772","4332"
"Community Work Centers","1024","581","6","0","1611"
"Community Trusties","8","4","0","0","12"
"Pending File Review","9","28","15","2","54"
"Court Order","104","135","53","15","307"
"TOTAL CUSTODY POPULATION","5764","6351","7084","2763","21962"
"Intensive Supervison Program","776","730","43","8","1557"
"Earned Release Supervision","483","567","557","5","1612"
"Medical Release","11","6","5","0","22"
"Other Custody","198","160","73","18","449"
"At Large","7","21","7","0","35"
"Off-Grounds Medical (Hospital)","1","5","4","2","12"
"TOTAL","7240","7840","7773","2796","25649"
"% OF TOTAL_offenses","28.23%","30.57%","30.31%","10.90%","100.00%"
