"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","552","571","182","1418","560","3283"
"CMCF","766","902","139","1102","314","3223"
"SMCI","491","577","188","1160","540","2956"
"County Jails (approved)","368","242","17","109","11","747"
"Youthful Offender Facility","0","1","2","28","4","35"
"County Jails (unapproved)","93","125","16","50","11","295"
"Private Prisons","265","361","210","1661","564","3061"
"Regional Correctional Facilities","677","800","328","1545","803","4153"
"Community Work Centers","462","248","0","79","0","789"
"Community Trusties","28","12","0","2","0","42"
"Pending File Review","37","42","4","17","4","104"
"Court Order","67","92","9","49","10","227"
"TVC","7","7","1","1","1","17"
"TOTAL CUSTODY POPULATION","3813","3980","1096","7221","2822","18932"
"% OF TOTAL_offenses","20.14%","21.02%","5.79%","38.14%","14.91%","100.00%"
"Intensive Supervison Program","306","355","13","58","5","737"
"Earned Release Supervision","144","41","120","290","5","600"
"Medical Release","6","5","0","2","0","13"
"Other Custody","174","219","15","94","23","525"
"At Large","7","15","0","6","0","28"
"Transitional Housing","0","1","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"RRP","3","13","0","6","0","22"
"Off-Grounds Medical (Hospital)","0","2","0","2","0","4"
"TOTAL","4453","4631","1244","7681","2855","20864"
"% OF TOTAL_offenses","21.34%","22.20%","5.96%","36.82%","13.68%","100.00%"
