"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","407","347","579","1906","3239"
"CMCF","956","916","316","1451","3639"
"SMCI","506","455","535","1415","2911"
"Youthful Offender Facility","0","7","2","27","36"
"County Jails (approved)","363","179","7","156","705"
"County Jails (unapproved)","94","116","10","49","269"
"Private Prisons","250","256","540","2101","3147"
"Regional Correctional Facilities","652","480","809","1931","3872"
"Community Work Centers","372","150","0","124","646"
"Community Trusties","6","0","0","1","7"
"Pending File Review","29","47","5","29","110"
"Court Order","95","83","13","93","284"
"Transitional Housing","3","9","1","8","21"
"RRP","30","35","0","10","75"
"TVC","44","10","0","18","72"
"TOTAL CUSTODY POPULATION","3807","3090","2817","9319","19033"
"% OF TOTAL_offenses","20.00%","16.23%","14.80%","48.96%","100.00%"
"Intensive Supervison Program","304","367","10","88","769"
"Earned Release Supervision","47","38","11","470","566"
"Medical Release","12","1","0","2","15"
"Other Custody","149","179","24","114","466"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","3","2","2","10"
"TOTAL","4331","3692","2865","10005","20893"
"% OF TOTAL_offenses","20.73%","17.67%","13.71%","47.89%","100.00%"
