"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1422","1333","2908","5663"
"CMCF","1079","1093","953","3125"
"SMCI","662","719","726","2107"
"County Jails (approved)","846","771","287","1904"
"County Jails (unapproved)","71","94","43","208"
"Private Prisons","637","866","1887","3390"
"Regional Correctional Facilities","893","589","1107","2589"
"Community Work Centers","714","596","12","1322"
"Community Trusties","8","5","5","18"
"CUSTODY POPULATION","6332","6066","7928","20326"
"Intensive Supervison Program","480","936","40","1456"
"Earned Release Supervision","417","555","199","1171"
"Medical Release","0","0","0","0"
"Other Custody","55","78","61","194"
"At Large","45","85","26","156"
"University of MS Medical Center","2","2","4","8"
"TOTAL","7331","7722","8258","23311"
"% of Total Offenses","31.45%","33.13%","35.43%","100.00%"
