"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,186","1,220","2,194","4,600"
"CMCF","1,020","1,132","964","3,116"
"SMCI","730","609","835","2,174"
"County Jails (approved)","610","470","135","1,215"
"County Jails (unapproved)","8","13","4","25"
"Private Prisons","1,027","1,176","2,629","4,832"
"Regional Correctional Facilities","872","559","1,307","2,738"
"Community Work Centers","985","690","5","1,680"
"Community Trusties","9","6","5","20"
"Pending File Review","7","10","2","19"
"TOTAL CUSTODY POPULATION","6,454","5,885","8,080","20,419"
"Intensive Supervison Program","595","1,013","34","1,642"
"Earned Release Supervision","758","741","382","1,881"
"Medical Release","3","2","2","7"
"Other Custody","117","114","62","293"
"Court Order","148","181","63","392"
"At Large","35","58","14","107"
"Off-Grounds Medical (Hospital)","3","1","0","4"
