"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1273","1460","2487","5220"
"CMCF","1028","1141","856","3025"
"SMCI","594","757","690","2041"
"County Jails (approved)","624","627","245","1496"
"County Jails (unapproved)","41","39","19","99"
"Private Prisons","870","806","1811","3487"
"Regional Correctional Facilities","744","520","770","2034"
"Community Work Centers","602","628","38","1268"
"Community Trusties","11","8","5","24"
"CUSTODY POPULATION","5787","5986","6921","18694"
"Intensive Supervison Program","325","895","23","1243"
"Earned Release Supervision","377","480","126","983"
"Medical Release","0","1","0","1"
"Other Custody","53","92","62","207"
"At Large","20","55","39","84"
"University of MS Medical Center","2","2","3","7"
"TOTAL","6564","7511","7144","21219"
"% of Total Offenses","30.93%","35.40%","33.67%","100.00%"
