"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1501","1337","2619","5457"
"CMCF","1105","1057","869","3031"
"SMCI","695","696","679","2070"
"County Jails (approved)","787","812","258","1857"
"County Jails (unapproved)","72","88","32","192"
"Private Prisons","728","934","1775","3437"
"Regional Correctional Facilities","971","617","908","2496"
"Community Work Centers","640","605","28","1273"
"Community Trusties","6","7","5","18"
"CUSTODY POPULATION","6505","6153","7173","19831"
"Intensive Supervison Program","413","1025","38","1476"
"Earned Release Supervision","403","489","158","1050"
"Medical Release","0","0","0","0"
"Other Custody","62","106","70","238"
"At Large","26","51","10","87"
"University of MS Medical Center","3","3","1","7"
"TOTAL","7412","7827","7450","22689"
"% of Total Offenses","32.67%","34.50%","32.84%","100.00%"
