"Facility","Mar","Apr","May","Jun"
"Mississippi State Penitentiary","3,376","3,364","3,269","3,379"
"Central Mississippi Correctional Facility","2,861","2,814","2,821","3,036"
"Youthful Offender Unit","29","31","31","32"
"South Mississippi Correctional Institution","2,819","2,983","2,903","2,997"
"County Jails","1,515","1,479","1,432","1,536"
"Community Work Centers","1,174","1,180","1,124","1,149"
"County/Regional Facilities","3,416","3,411","3,299","3,459"
"Private Prisons","3,951","3,931","3,791","3,876"
"Restitution Centers","12","14","13","15"
"Total","19,153","19,207","18,683","19,479"
