"Female","Black","White","Hispanic","Other","Unknown","Total","Percent"
"Less than 1 year","22","77","0","0","0","99","5.81%"
"1-2  years","93","156","3","2","0","254","14.91%"
"3-5  years","147","251","7","1","1","407","23.90%"
"6-10  years","179","244","5","0","0","428","25.13%"
"11-20 years","150","159","3","2","0","314","18.44%"
"21-30  years","34","36","1","0","0","71","4.17%"
"Greater than 30 Years","13","13","0","0","0","26","1.53%"
"Life","57","45","0","0","1","103","6.05%"
"Death","0","1","0","0","0","1","0.06%"
"Total","695","982","19","5","2","1703","100.00%"
