"Male","Black","White","Hispanic","Other","Unknown","Total","Percent"
"Less than 1 year","189","218","2","1","1","411","2.10%"
"1-2  years","583","460","8","4","1","1056","5.38%"
"3-5  years","1935","1226","24","23","2","3210","16.37%"
"6-10  years","3132","1693","47","16","4","4892","24.95%"
"11-20 years","3485","1495","45","21","1","5047","25.74%"
"21-30  years","1317","482","17","3","0","1819","9.28%"
"Greater than 30 Years","809","235","7","4","0","1055","5.38%"
"Life","1509","550","12","4","0","2075","10.58%"
"Death","26","19","0","1","0","46","0.23%"
"Total","12985","6378","162","77","9","19611","100.00%"
