"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","767","766","157","1,172","486"
"CMCF","895","1,133","172","832","330"
"SMCI","688","788","184","1,037","532"
"County Jails (approved)","760","633","24","78","36"
"Youthful Offender Facility","0","3","0","21","5"
"County Jails (unapproved)","153","191","19","32","29"
"Private Prisons","492","860","282","2,044","600"
"Regional Correctional Facilities","998","1,139","312","1,194","786"
"Community Work Centers","940","612","1","4","0"
"Community Trusties","0","0","0"
"Pending File Review","7","0","0","5","0"
"Court Order","156","147","8","36","12"
"TOTAL CUSTODY POPULATION","5,883","6,316","1,159","6,455","2,816"
"% OF TOTAL OFFENSES","26.00%","27.91%","5.12%","28.53%","12.44%"
"Intensive Supervison Program","723","827","15","45","8"
"Earned Release Supervision","504","568","197","395","6","7 2
4 4"
