"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","770","774","159","1,185","481"
"CMCF","905","1,108","168","793","310"
"SMCI","688","772","182","1,028","537"
"Youthful Offender Facility","0","4","1","18","5"
"County Jails (approved)","750","630","20","62","35"
"County Jails (unapproved)","175","253","21","61","22"
"Private Prisons","496","861","284","2,062","604"
"Regional Correctional Facilities","967","1,104","308","1,186","794"
"Community Work Centers","926","612","1","4","0"
"Community Trusties","0","0","0"
"Pending File Review","8","9","2","4","0"
"Court Order","137","134","5","45","16"
"TOTAL CUSTODY POPULATION","5,849","6,277","1,151","6,448","2,804"
"% OF TOTAL OFFENSES","25.96%","27.86%","5.11%","28.62%","12.45%"
"Intensive Supervison Program","737","804","17","44","6"
"Earned Release Supervision","505","563","196","395","7","7 2
6 1"
