"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","768","752","167","1,188","451"
"CMCF","929","1,062","174","796","344"
"SMCI","642","808","171","1,039","538"
"County Jails (approved)","735","642","21","60","26"
"Youthful Offender Facility","0","7","3","26","8"
"County Jails (unapproved)","104","104","12","29","12"
"Private Prisons","522","905","294","2,063","620"
"Regional Correctional Facilities","943","1,088","326","1,230","810"
"Community Work Centers","820","543","4","3","0"
"Community Trusties","0","0","0"
"Pending File Review","0","7","2","4","0"
"Court Order","114","151","12","53","15"
"TOTAL CUSTODY POPULATION","5,606","6,083","1,186","6,491","2,824"
"% OF TOTAL OFFENSES","25.26%","27.41%","5.34%","29.25%","12.73%"
"Intensive Supervison Program","691","795","14","44","7"
"Earned Release Supervision","509","571","200","383","8","9 2
4 1"
