"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","769","768","170","1,177","492"
"CMCF","941","1,029","168","797","334"
"SMCI","650","817","174","1,024","534"
"County Jails (approved)","758","658","21","60","24"
"Youthful Offender Facility","0","6","1","24","6"
"County Jails (unapproved)","109","122","13","32","16"
"Private Prisons","537","913","290","2,061","614"
"Regional Correctional Facilities","945","1,096","319","1,256","809"
"Community Work Centers","824","557","3","1","0"
"Community Trusties","0","0","0"
"Pending File Review","9","6","1","2","0"
"Court Order","130","159","16","47","13"
"TOTAL CUSTODY POPULATION","5,690","6,142","1,176","6,481","2,842"
"% OF TOTAL OFFENSES","25.48%","27.50%","5.27%","29.02%","12.73%"
"Intensive Supervison Program","690","799","11","42","7"
"Earned Release Supervision","493","573","195","382","9","8 1
1 1"
