"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","782","765","160","1,199","492"
"CMCF","865","1,068","191","830","346"
"SMCI","671","820","171","1,031","533"
"County Jails (approved)","779","647","24","68","33"
"Youthful Offender Facility","0","6","0","22","5"
"County Jails (unapproved)","166","192","21","48","19"
"Private Prisons","495","912","280","2,025","594"
"Regional Correctional Facilities","971","1,123","320","1,207","799"
"Community Work Centers","902","587","2","4","0"
"Community Trusties","0","0","0"
"Pending File Review","3","1","2","0","4"
"Court Order","146","149","7","45","14"
"TOTAL CUSTODY POPULATION","5,827","6,303","1,178","6,479","2,839"
"% OF TOTAL OFFENSES","25.75%","27.86%","5.21%","28.64%","12.55%"
"Intensive Supervison Program","729","826","15","47","7"
"Earned Release Supervision","509","581","191","389","5","7 4
3 3"
