"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","774","751","169","1,193","467"
"CMCF","899","1,110","161","784","344"
"SMCI","723","812","191","1,006","516"
"Youthful Offender Facility","0","4","1","13","5"
"County Jails (approved)","767","632","17","52","37"
"County Jails (unapproved)","83","136","5","21","9"
"Private Prisons","482","880","268","2,089","624"
"Regional Correctional Facilities","960","1,117","302","1,180","790"
"Community Work Centers","904","568","0","4","0"
"Community Trusties","7 2","0","0","0"
"Pending File Review","1","3 2
3","4","11","4"
"Court Order","149","183","10","57","23"
"TOTAL CUSTODY POPULATION","5,769","6,219","1,128","6,410","2,819"
"% OF TOTAL OFFENSES","25.82%","27.83%","5.05%","28.69%","12.62%"
"Intensive Supervison Program","794","789","18","49","7"
"Earned Release Supervision","507","513","186","392","4"
