"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","765","771","122","1,067","462"
"CMCF","899","1,110","161","784","344"
"SMCI","723","812","191","1,006","516"
"Youthful Offender Facility","0","4","1","13","5"
"County Jails (approved)","767","632","17","52","7"
"County Jails (unapproved)","83","136","5","21"
"Private Prisons","482","880","268","2,089","624"
"Regional Correctional Facilities","960","1,117","302","1,180","790"
"Community Work Centers","904","568","0","4","0"
"Community Trusties","0","0","0"
"Pending File Review","1","3","4","11","4"
"Court Order","149","183","10","57","23"
"TOTAL CUSTODY POPULATION","5,760","6,239","1,081","6,284","2,814"
"% OF TOTAL OFFENSES","25.97%","28.13%","4.87%","28.33%","12.69%"
"Intensive Supervison Program","794","789","18","49","7"
"Earned Release Supervision","507","513","186","392","4"
"Medical Release","12","8","2","6"
"Other Custody","193","167","13","66","7 2
3 2
93
0 1
9"
